at,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
15/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-06,0.004204685,0.02279773,0.038464946,0.04256922,0.048595352,0.046837828,0.075863641,0.134650567,0.148846893,0.11577811,0.072912057,0.056186664,0.037116102,0.022990915,0.005844311,0.000476352,2.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
16/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212052,0.002537326,0.038152057,0.097159142,0.178544858,0.193802829,0.112628435,0.091948556,0.144629717,0.113630542,0.121324809,0.079044111,0.095538891,0.085710822,0.052008292,0.027155742,0.004156262,0.000187156,0,0,0,0,0,0,0,0,0,0,0,0,0
17/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001166737,0.016431239,0.047816102,0.134713462,0.21963914,0.291044232,0.26426248,0.280722652,0.236760873,0.245434016,0.238503047,0.196602901,0.139891195,0.121368748,0.079837423,0.01891343,0.002538295,6.39E-05,8.57E-07,0,0,0,0,0,0,0,0,0,0,0,0
18/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265355,0.010286153,0.027937178,0.058754875,0.090669895,0.164842318,0.194052575,0.089494928,0.034547245,0.014724688,0.017190948,0.011335495,0.02052625,0.031518877,0.027799805,0.00779588,1.03E-05,5.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
19/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003456042,0.048646325,0.135120028,0.268444457,0.366712881,0.417258082,0.452817068,0.457723782,0.445539387,0.445974469,0.4441893,0.400063471,0.349762639,0.26839921,0.171554534,0.048839149,0.010308197,0.000304328,9.87E-06,0,0,0,0,0,0,0,0,0,0,0,0
20/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000816157,0.019367187,0.05570632,0.113174658,0.191877291,0.237746473,0.278780087,0.281678342,0.25899869,0.265616448,0.256654606,0.219135313,0.174376534,0.16359578,0.098273488,0.037028644,0.006333596,7.78E-05,5.71E-06,0,0,0,0,0,0,0,0,0,0,0,0
21/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47E-06,0.007757138,0.054392652,0.078144201,0.159303685,0.163053692,0.178636266,0.281265133,0.302716768,0.263703658,0.222266432,0.16004977,0.112797635,0.055529848,0.017849205,0.016282672,0.010160406,0.001141731,5.00E-05,1.07E-06,0,0,0,0,0,0,0,0,0,0,0,0
22/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-05,0.001984358,0.039425688,0.092482685,0.13689558,0.186135602,0.201281915,0.187528051,0.208797283,0.270663954,0.321078741,0.32386942,0.234064054,0.178216396,0.112182604,0.087852104,0.054548943,0.013386674,0.000108642,3.85E-06,0,0,0,0,0,0,0,0,0,0,0,0
23/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88E-05,0.007674117,0.042403276,0.075569123,0.099037271,0.167697581,0.288921893,0.354144502,0.316588616,0.211713863,0.208368045,0.091600986,0.03772239,0.013959553,0.002712944,0.001012437,0.000968344,1.09E-06,1.58E-06,0,0,0,0,0,0,0,0,0,0,0,0
24/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0.00651734,0.012123024,0.018970674,0.033537053,0.04252032,0.054812063,0.06221007,0.06662832,0.053651397,0.05183206,0.045508333,0.027530011,0.016711845,0.008947217,0.002512102,1.61E-05,1.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570526,0.039135089,0.042143084,0.054985846,0.143864719,0.260890111,0.165068083,0.211191882,0.207073364,0.398944309,0.434764213,0.266293865,0.100054483,0.06250759,0.021421454,0.010484698,0.012680539,0.00072751,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83E-07,0.000182661,0.001109684,0.003920615,0.007289786,0.010200924,0.017493557,0.032941479,0.044792624,0.076659103,0.114615537,0.23766511,0.245025667,0.146106755,0.090098054,0.086328272,0.020350911,0.000179427,1.45E-05,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74E-07,0.002010715,0.017053914,0.057180405,0.085359297,0.108690673,0.192611325,0.220034833,0.167304166,0.046778335,0.038377444,0.060330754,0.066201831,0.088533425,0.111484506,0.07698863,0.042678724,0.011152826,0.000587655,1.99E-05,0,0,0,0,0,0,0,0,0,0,0,0
28/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07E-05,0.014388357,0.047278423,0.08140286,0.110812724,0.180695177,0.201063142,0.296783274,0.265867735,0.218434245,0.146814908,0.107680316,0.086829176,0.084131435,0.057456719,0.045723736,0.033072682,0.013445151,0.001141407,6.42E-05,0,0,0,0,0,0,0,0,0,0,0,0
29/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27E-06,0.002417916,0.017245071,0.039293033,0.066191765,0.093628084,0.113312603,0.103051745,0.099294088,0.076372857,0.070075321,0.045984197,0.026566394,0.017906465,0.016297368,0.0187673,0.012804086,0.005385221,0.00063121,4.64E-05,0,0,0,0,0,0,0,0,0,0,0,0
30/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42E-06,0.000319879,0.003342456,0.010721361,0.020775343,0.02969693,0.033128774,0.028609475,0.028930301,0.031107581,0.030558006,0.030187537,0.024722948,0.01836184,0.011746363,0.005147158,0.00088128,5.78E-06,6.78E-07,0,0,0,0,0,0,0,0,0,0,0,0
31/01/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-06,0.000947657,0.008814467,0.013595184,0.020941867,0.038089133,0.0404789,0.034347398,0.025454478,0.029331785,0.025423013,0.012786985,0.006646347,0.004644059,0.004412219,0.003052427,0.001386871,0.000652875,1.12E-05,5.50E-07,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000248891,0.016124669,0.112527884,0.247764948,0.361414628,0.407891152,0.39423223,0.362523442,0.288655734,0.388976658,0.239678357,0.172196112,0.181359873,0.304402227,0.294426328,0.133272941,0.038098504,0.006479347,0.000400839,6.45E-06,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227398,0.015952836,0.098137946,0.190610928,0.257922682,0.320543164,0.321079268,0.330857258,0.31351437,0.3648469,0.306032176,0.308746976,0.406815887,0.343115082,0.285330665,0.20058234,0.120531049,0.038561382,0.005471608,7.46E-05,0,0,0,0,0,0,0,0,0,0,0,0
