Group admin,School name,MAT,Diocese,Local Authority,School URL,MAT/LA group,MAT/LA group URL,Project group,Project URL
Ellie,Norwood Secondary School,,,,https://energysparks.uk/schools/the-norwood-school-secondary,Lambeth,https://energysparks.uk/admin/school_groups/lambeth,RAFT - Lambeth group,https://energysparks.uk/admin/school_groups/raft-lambeth-group
Ellie,Oak Meadow Primary School,ST BARTHOLOMEW'S CE MULTI ACADEMY TRUST,,,https://energysparks.uk/schools/oak-meadow-primary-school,ST BARTHOLOMEW'S CE MULTI ACADEMY TRUST,https://energysparks.uk/admin/school_groups/st-bartholomew-s-ce-multi-academy-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Orchard Mead Academy,The Mead Educational Trust,,,Link not sent out yet,The Mead Educational Trust,https://energysparks.uk/admin/school_groups/the-mead-educational-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Oxon CofE Primary School,Diocese of Lichfield,,,https://energysparks.uk/schools/oxon-cofe-primary-school,Shropshire,https://energysparks.uk/admin/school_groups/shropshire,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Paxton Primary School,,,,https://energysparks.uk/schools/paxton-primary-school,Lambeth,https://energysparks.uk/admin/school_groups/lambeth,RAFT - Lambeth group,https://energysparks.uk/admin/school_groups/raft-lambeth-group
Ellie,Plashet Secondary School,,,,https://energysparks.uk/schools/plashet-secondary-school,Newham,https://energysparks.uk/admin/school_groups/newham,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Poppyfield Primary Academy,VICTORIA ACADEMIES TRUST,,,https://energysparks.uk/schools/poppyfield-primary-academy,VICTORIA ACADEMIES TRUST,https://energysparks.uk/admin/school_groups/victoria-academies-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Potters Green Primary,Castle Phoenix Trust,,,https://energysparks.uk/schools/potters-green-primary-school,Castle Phoenix Trust,https://energysparks.uk/admin/school_groups/castle-phoenix-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Queen's Park Primary School,,,,https://energysparks.uk/schools/queen-s-park-primary-school,Westminster,https://energysparks.uk/admin/school_groups/westminster,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Rathfern Primary School,,,,https://energysparks.uk/schools/rathfern-primary-school,Lewisham,https://energysparks.uk/admin/school_groups/lewisham-60dd7682-4351-4691-8a61-c06d49cd9d80,RAFT - Lewisham group,https://energysparks.uk/admin/school_groups/raft-lewisham-group
Ellie,Regent High School,,,,https://energysparks.uk/schools/regent-high-school,Camden,https://energysparks.uk/admin/school_groups/camden,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Richard Atkins Primary School,,,,https://energysparks.uk/schools/richard-atkins-primary-school,Lambeth,https://energysparks.uk/admin/school_groups/lambeth,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Richard Cloudesley School,,,,https://energysparks.uk/schools/richard-cloudesley-school,Islington,https://energysparks.uk/admin/school_groups/islington,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Richard Lee Primary School,CASTLE PHOENIX TRUST,,,https://energysparks.uk/schools/richard-lee-primary-school,Castle Phoenix Trust,https://energysparks.uk/admin/school_groups/castle-phoenix-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Risley Avenue Primary School,,,,Account not set up yet,Haringey,https://energysparks.uk/admin/school_groups/haringey,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Roman Road Primary School,,,,https://energysparks.uk/schools/roman-road-primary-school,Newham,https://energysparks.uk/admin/school_groups/newham,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Rotherfield Primary School,The Growth Learning Collective,,,https://energysparks.uk/schools/rotherfield-primary-school,The Growth Learning Collective,https://energysparks.uk/admin/school_groups/the-growth-learning-collective,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Rushey Mead Academy,The Mead Educational Trust,,,https://energysparks.uk/schools/rushey-mead-academy,The Mead Educational Trust,https://energysparks.uk/admin/school_groups/the-mead-educational-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Smallwood Primary School,,,,https://energysparks.uk/schools/smallwood-primary-school-and-language-unit,Wandsworth,https://energysparks.uk/admin/school_groups/wandsworth,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Southville Primary School,,,,https://energysparks.uk/schools/southville-primary-school,Hounslow,https://energysparks.uk/admin/school_groups/hounslow,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,St Helen's Catholic Primary School,OUR LADY OF GRACE CATHOLIC ACADEMY TRUST,,,https://energysparks.uk/schools/st-helen-s-catholic-primary-school,OUR LADY OF GRACE CATHOLIC ACADEMY TRUST,https://energysparks.uk/admin/school_groups/our-lady-of-grace-catholic-academy-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Stillness Infant School,,,,https://energysparks.uk/schools/stillness-infant-school,Lewisham,https://energysparks.uk/admin/school_groups/lewisham-60dd7682-4351-4691-8a61-c06d49cd9d80,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Stillness Junior School,,,,Account not set up yet,Lewisham,https://energysparks.uk/admin/school_groups/lewisham-60dd7682-4351-4691-8a61-c06d49cd9d80,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Surbiton Hill Nursery School,,,,https://energysparks.uk/schools/surbiton-hill-nursery-school,Kingston Upon Thames,https://energysparks.uk/admin/school_groups/kingston-upon-thames,GLA Greener Schools,https://energysparks.uk/admin/school_groups/gla-greener-schools-project
Ellie,Tame Valley Academy,GREENHEART LEARNING PARTNERSHIP,,,Account not set up yet,GREENHEART LEARNING PARTNERSHIP,https://energysparks.uk/admin/school_groups/greenheart-learning-partnership,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Telferscot Primary School,,,,https://energysparks.uk/schools/telferscot-primary-school,Lambeth,https://energysparks.uk/admin/school_groups/lambeth,RAFT - Lambeth group,https://energysparks.uk/admin/school_groups/raft-lambeth-group
Ellie,The Bulwell Academy,CREATIVE EDUCATION TRUST,,,https://energysparks.uk/schools/the-bulwell-academy,CREATIVE EDUCATION TRUST,https://energysparks.uk/admin/school_groups/creative-education-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,The Joseph Whitaker School,EAST MIDLANDS EDUCATION TRUST,,,Account not set up yet,EAST MIDLANDS EDUCATION TRUST,https://energysparks.uk/admin/school_groups/east-midlands-education-trust-emet,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
Ellie,Thistley Hough Academy,CREATIVE EDUCATION TRUST,,,Account not set up yet,CREATIVE EDUCATION TRUST,https://energysparks.uk/admin/school_groups/creative-education-trust,Great British Energy Solar Project (MACE led),https://energysparks.uk/school_groups/great-british-energy-solar-project-mace-led-3c404449-0c6f-49f9-96a7-5465bf6d0bac
